id,temperatureVal,currentVal,vibrationVal,rpmVal,receivedTime,classifier,intClassifier
3007,29.96,0,59.85,1161,2016-03-05 13:24:58,noload,1
3008,29.94,0,55.13,666,2016-03-05 13:24:59,noload,1
3009,29.93,0,52.98,288,2016-03-05 13:25:00,noload,1
3010,29.98,0,50.71,72,2016-03-05 13:25:01,noload,1
3011,29.88,0,48.04,3,2016-03-05 13:25:02,noload,1
3012,29.9,0,45.98,0,2016-03-05 13:25:03,noload,1
3013,29.97,0,42.61,0,2016-03-05 13:25:04,noload,1
3014,29.96,0,38.81,0,2016-03-05 13:25:05,noload,1
3015,29.9,0,35.39,0,2016-03-05 13:25:06,noload,1
3016,29.91,0,32.64,0,2016-03-05 13:25:08,noload,1
3017,29.77,0,31.24,0,2016-03-05 13:25:09,noload,1
3018,30.07,0,30.36,0,2016-03-05 13:25:10,noload,1
3019,30.08,0.31,33.78,0,2016-03-05 13:25:11,noload,1
3020,30.14,0.83,35.04,225,2016-03-05 13:25:12,noload,1
3021,30.18,0.78,73.76,645,2016-03-05 13:25:13,noload,1
3022,30.13,0.57,80.28,1185,2016-03-05 13:25:14,noload,1
3023,30.17,0.52,87.63,1728,2016-03-05 13:25:15,noload,1
3024,30.21,0.5,90.34,2241,2016-03-05 13:25:16,noload,1
3025,30.22,0.5,84.61,2616,2016-03-05 13:25:17,noload,1
3026,30.19,0.5,89.25,2751,2016-03-05 13:25:18,noload,1
3027,30.19,0.49,92.23,2766,2016-03-05 13:25:19,noload,1
3028,30.24,0.49,89.51,2781,2016-03-05 13:25:20,noload,1
3029,30.28,0.5,90.78,2790,2016-03-05 13:25:22,noload,1
3030,30.26,0.49,88.16,2778,2016-03-05 13:25:23,noload,1
3031,30.29,0.5,82.16,2784,2016-03-05 13:25:24,noload,1
3032,30.34,0.49,83.78,2784,2016-03-05 13:25:25,noload,1
3033,30.4,0.49,87.19,2790,2016-03-05 13:25:26,noload,1
3034,30.51,0.49,83.08,2799,2016-03-05 13:25:27,noload,1
3035,30.54,0.49,86.41,2790,2016-03-05 13:25:28,noload,1
3036,30.56,0.49,89.43,2790,2016-03-05 13:25:29,noload,1
3037,30.7,0.5,87.24,2793,2016-03-05 13:25:30,noload,1
3038,30.79,0.49,89.43,2781,2016-03-05 13:25:31,noload,1
3039,30.99,0.49,89.95,2775,2016-03-05 13:25:32,noload,1
3040,30.96,0.5,88.24,2787,2016-03-05 13:25:33,noload,1
3041,31.01,0.49,88.24,2793,2016-03-05 13:25:34,noload,1
3042,31.09,0.5,88.07,2793,2016-03-05 13:25:36,noload,1
3043,30.86,0.49,83.87,2796,2016-03-05 13:25:37,noload,1
3044,30.81,0.49,89.95,2793,2016-03-05 13:25:38,noload,1
3045,30.83,0.49,92.05,2790,2016-03-05 13:25:39,noload,1
3046,30.85,0.49,86.06,2775,2016-03-05 13:25:40,noload,1
3047,30.87,0.49,90.43,2778,2016-03-05 13:25:41,noload,1
3048,30.93,0.49,93.67,2790,2016-03-05 13:25:42,noload,1
3049,30.93,0.49,88.33,2787,2016-03-05 13:25:43,noload,1
3050,30.92,0.5,94.24,2796,2016-03-05 13:25:44,noload,1
3051,30.93,0.49,97.74,2799,2016-03-05 13:25:45,noload,1
3052,30.97,0.49,88.99,2787,2016-03-05 13:25:46,noload,1
3053,31.02,0.49,89.07,2772,2016-03-05 13:25:47,noload,1
3054,30.99,0.49,90.87,2778,2016-03-05 13:25:48,noload,1
3055,30.92,0.49,82.78,2769,2016-03-05 13:25:50,noload,1
3056,30.99,0.49,85.88,2757,2016-03-05 13:25:51,noload,1
3057,31.04,0.49,85.75,2772,2016-03-05 13:25:52,noload,1
3058,31.1,0.49,84.83,2781,2016-03-05 13:25:53,noload,1
3059,31.15,0.49,87.54,2778,2016-03-05 13:25:54,noload,1
3060,31.14,0.49,87.85,2799,2016-03-05 13:25:55,noload,1
3061,31.13,0.49,82.82,2793,2016-03-05 13:25:56,noload,1
3062,31.13,0.49,90.61,2802,2016-03-05 13:25:57,noload,1
3063,31.21,0.49,87.94,2787,2016-03-05 13:25:58,noload,1
3064,31.21,0.48,81.99,2787,2016-03-05 13:25:59,noload,1
3065,31.19,0.49,83.56,2772,2016-03-05 13:26:00,noload,1
3066,31.19,0.49,84.31,2769,2016-03-05 13:26:01,noload,1
3067,31.19,0.49,82.64,2751,2016-03-05 13:26:02,noload,1
3068,31.14,0.49,84.83,2763,2016-03-05 13:26:04,noload,1
3069,31.18,0.49,90.34,2760,2016-03-05 13:26:05,noload,1
3070,31.45,0.49,86.1,2766,2016-03-05 13:26:06,noload,1
3071,31.57,0.49,86.71,2763,2016-03-05 13:26:07,noload,1
3072,31.51,0.48,86.54,2751,2016-03-05 13:26:08,noload,1
3073,31.59,0.48,81.77,2760,2016-03-05 13:26:09,noload,1
3074,31.66,0.48,81.9,2778,2016-03-05 13:26:10,noload,1
3075,31.64,0.48,86.36,2784,2016-03-05 13:26:11,noload,1
3076,31.59,0.48,82.47,2790,2016-03-05 13:26:12,noload,1
3077,31.55,0.45,79.1,2793,2016-03-05 13:26:13,noload,1
3078,31.48,0.37,79.36,2760,2016-03-05 13:26:14,noload,1
3079,31.49,0.33,74.24,2649,2016-03-05 13:26:15,noload,1
3080,31.63,16.65,63.88,0,2016-03-05 13:26:21,noload,1
3081,31.67,3.89,58.8,0,2016-03-05 13:26:22,noload,1
3082,31.67,0.92,72.1,0,2016-03-05 13:26:22,noload,1
3083,31.61,0.24,62.3,3,2016-03-05 13:26:22,noload,1
3084,31.35,0.13,51.45,3,2016-03-05 13:26:23,noload,1
3085,31.21,0.12,66.15,3,2016-03-05 13:26:23,noload,1
3086,31.19,0.12,68.07,12,2016-03-05 13:26:23,noload,1
3087,31.19,0.11,58.8,12,2016-03-05 13:26:24,noload,1
3088,31.27,0.13,47.77,21,2016-03-05 13:26:24,noload,1
3089,31.29,0.12,62.47,21,2016-03-05 13:26:24,noload,1
3090,31.29,0.11,64.22,21,2016-03-05 13:26:25,noload,1
3091,31.33,0.12,49.17,27,2016-03-05 13:26:25,noload,1
3092,31.33,0.12,48.47,27,2016-03-05 13:26:25,noload,1
3093,31.35,0.12,63,27,2016-03-05 13:26:26,noload,1
3094,31.39,0.12,57.4,36,2016-03-05 13:26:26,noload,1
3095,31.39,0.11,42.52,36,2016-03-05 13:26:27,noload,1
3096,31.39,0.13,54.77,36,2016-03-05 13:26:27,noload,1
3097,31.33,0.11,61.42,42,2016-03-05 13:26:27,noload,1
3098,31.27,0.12,50.4,42,2016-03-05 13:26:28,noload,1
3099,31.21,0.11,41.3,42,2016-03-05 13:26:28,noload,1
3100,31.21,0.12,56.88,39,2016-03-05 13:26:28,noload,1
3101,31.21,0.12,54.25,39,2016-03-05 13:26:29,noload,1
3102,31.19,0.12,38.15,39,2016-03-05 13:26:29,noload,1
